Arrivalrate,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5
0,0,0,0,0,0,0,0,0,0,0
1,0,0.466667,0.95,1.75,2.61667,3.43333,4.13333,4.9,5.75,6.36667
2,0,0.483333,1.38333,2.06667,2.83333,3.55,4.35,4.93333,5.73333,6.45
3,0,0.6,1.45,2.13333,2.88333,3.63333,4.3,5.6,61.4667,130.367
4,0,0.666667,1.4,2.13333,2.81667,3.88333,54.8167,134.383,198.933,241.083
5,0,0.7,1.45,2.15,2.96667,80.5333,167.717,230.883,283.083,326.75
6,0,0.7,1.43333,2.18333,61.8667,165.65,246.65,293.8,339.733,378.433
7,0,0.7,1.43333,2.6,137.583,228.917,292.117,337.867,390.6,415.95
8,0,0.716667,1.45,58.1,194.567,277.233,337.75,377.333,417.45,443.583
9,0,0.716667,1.45,119.1,243.8,316.367,368.217,405.85,434.05,461.3
